N°,Dénomination,N° RCCM,Activités,Adresses,Type
1,14 FEVRIER,RB/COT 13 B 9578,"IMPORTATION DE PRODUITS AGROALIMENTAIRES-TEXTILES-MATERIAUX DE CONSTRUCTION-MATERIELS ELECTRIQUES-LA QUINCAILLERIE-","QUARTIER DANTOKPA ILOT 531- 03 BP 3727 TEL 97035245",PM
2,2 AO & FILS,"RB/COO/12 B9186 DU220812","COMMERCE : Transports routiers de marchandises -toutes opérations pouvant concerner l'achat, la vente, l'importation, l'exportation, l'emmagasinage, le warrantage et le transport de tous produits , marchandises.","COTONOU : Kpondéhou 1 - ilot 462 bis - tél : 97272440",PM
3,"2A.S HOUNTONDJI ET FILS",RB/COT/13 A 16754,"VENTE DE MATERIELS ELECTRIQUES ET ELECTRONIQUES - PRESSING - DIVERSES PRESTATIONS DE SERVICES.","QTIER: VEDOKO - ILOT: 1448 - TEL: 95 46 95 19/ 97 80 01 52",PP
4,2AE HOUSE,"RB/COT/13A17796DU230813","COMMERCE : Achat et vente de matériels d'électricité - vente de matériels électriques - BTP - matériels et consommables informatiques - bureautiques - génie civil","COTONOU : Kouhounou - ilot 2226 - parcelle G - Tél : 97966691",PP
5,2B PRESTATIONS,RB/COT/13 A 17292,"BTP - ASSAINISSEMENT - IMPRIMERIE - POISSONNERIE - COMMERCE GENERAL ET DIVERSES PRESTATIONS","QTIER: AGONTINKON - ILOT: 1116 - TEL: 95 95 69 73",PP
6,2EME LIEU,RB/COT/13 A 16565,"BARS - CAFES ET AUTRES DEBITS DE BOISSONS - RESTAURATION - VENTE DE PRODUITS D'ENTRETIEN","QTIER: FIFADJI - ILOT: 1915 - 10 BP 1073 - TEL: 97 64 46 52",PP
7,2GMD GROUP,"RB/COT/13B10498 DU130913","COMMERCE : Achat, vente, importation et exportation de véhicules d'occasion - pneus - pièces détachées et de motos","COTONOU : Cadjèhoun II - ilot 789 - parcelle A - Tél : 97378362",PM
8,2HF - SERVICES,"RB/COT/13B10302 DU180713","COMMERCE : Importation et exportation de tous produits - matériels et objets non prohibés notamment de véhicules automobiles d'occasion - pneumatiques - pièces détachées pour automobiles et de matériaux de construction","COTONOU : Fidjrossè Centre - ilot 1691 - parcelle R - Tél : 95860510",PM
9,3 AS TECHNOLOGIES,RB COT 13 A 16471,"ACHAT ET VENTE DE MATERIELS INFORMATIQUES BUREAUTIQUES-FOURNITURES ET MATERIELS DE BUREAU","QUARTIER SAINT JEAN ILOT 436-E TEL 96748284/66159414",PP
10,3AE,RB/NAT/2013 B 035,"IMPORTATION DE MATERIAUX DE CONSTRUCTION - MATERIELS ELECTRIQUES - TOUS TRAVAUX CONSTRUCTION DE RESEAUX ELECTRIQUES DE BTP ET DE GENIE CIVIL","QTIER: BORIS - YOURE - ILOT: 196 - MAISON HOUNGNIBO - TEL: 96 99 51 84",PM
"","","",COMMERCE : Achat et vente de matériaux de ,"","",""
"","","",construction - quincaillerie - peinture et articles - ,"","",""
79,ADONAÏ ET FILS,RB/COT/13 A17517 DU030713,assainissement et travaux publics - vente des produits SOBEBRA - location de véhicules et de ,COTONOU : Ahouassa - ilot 410 - parcelle H - Tél : 94290000,PP,HOUESSOU Djidjoho J. né le 02/08/83 à Affamê 
"","","",bâches - BTP - commerce général et diverses ,"","",""
"","","",prestations de service,"","",""
"","","",IMPORTATION DE PRODUITS ,"","",""
"","","",AGROALIMENTAIRES-L'ACHAT ET VENTE DE ,"","",""
"","","",MATERIELS INFORMATIQUES-D'APPAREILS ,"","",""
80,ADS BERAKA,RB COT 13 B 9571,ELECTROMENAGERS-CONSOMMABLES -,QUARTIER MENONTIN ILOT 2062-,"",ADOUNSA CONSTANT 
"","","",FOURNITURES ET MATERIELS DE BUREAU-DE ,P TEL 95.15.49.26,PM,TEL 95154926
"","","",TOUS EQUIPEMENTS INFORMATIQUES-BTP-,"","",""
"","","",GENIE CIVIL-,"","",""
"","","",IMPORTATION DE VEHICULES D'OCCASION-,"","",""
81,ADUN IFE MOTORS,RB/PN 2013 B 018,PIECES DE RECHANGE ET ACCESSOIRES AUTOMOBILES -PNEUMATIQUES-TRANSPORT-,QUARTIER SADOGNON C/S/B M/ALI TEL 97873049,PM,""
"","","",PRET-A PORTER-PRESTATIONS DIVERSES...,"","",""
"","","",LAVAGE ET NETTOYAGE DE TEXTILES - LAVAGE ,"","",""
82,ADURA N'GBA,RB/COT/13 A 16860,MOTO-AUTO - MOQUETTE - TAPIS - LOCATION DES CHAISES - BACHES - VEHICULES - ,QTIER: JERICHO - ILOT: 483 - 03 BP 763 JERICHO - TEL: 97 44 69 ,PP,LAWANI FATIOU ADECHINA
"","","",DIVERSES PRESTATIONS DE SERVICES.,62,"",""
83,AERIS,RB/COT/13 A 17092,"TRANSPORTS - ACHAT ET VENTE DE PIECES DETACHEES D'OCCASION ET DIVERSES MARCHANDISES.","QTIER: MIFONGOU - ILOT: 324-325 - TEL: 95 95 80 19",PP
84,AFFISS ET FILS,"RB/COT/13 A17476 DU270613","COMMERCE : Achat et vente de produits cosmétiques et parfumerie - divers","COTONOU : Dantokpa - ilot 1369 -  parcelle M - Tél : 66030001",PP
85,AFFOLABI & FILS,"RB/COT/13A17747DU140813","COMMERCE : Achat et vente de pièces détachées - pneus et accessoires automobiles - achat et vente de véhicules d'occasion - vente de fournitures et matériels de bureau- commerce général","COTONOU : Tokpa - Hangard - parcelle 075APH - Tél : 97872537",PP
86,"AFOKANTAN - GENESE BENIN SARL",RB/PKOU 2012 B 22,"IMPORTATION  DE PRODUITS TROPICAUX ET AUTRES PRODUITS AGRICOLES-IMPORTATION DE PRODUITS ALIMENTAIRES-DIVERSES PRESTATIONS DE SERVICES.","QUARTIER TCHAOUROU IMMEUBLE AFOKANTAN BENIN CASHEW  BP 10 TEL 67397658",PM
87,"AFONHOUNTO BENIN GROUP (ABEG)",RB/COT/13 A 16707,"ASSAINISSEMENT - VOIRIE ET GESTION DES DECHETS - COMMERCE GENERAL ET DIVERSES PRESTATIONS DE SERVICES.","QTIER: FIGNON SIKECODJI - ILOT: 891 - TEL: 97 98 87 82/ 90 12 30 49",PP
88,AFRICA BULDING,"RB/COT/13B10306DU220713","COMMERCE : Importation et vente de matériels - mobiliers et équipements de bureau - matériaux de construction","COTONOU : Tokpa - xoxo - ilot 83-84 - parcelle : Rue des cheminots - Tél : 95628072",PM
89,"AFRICA BUSINESS & COMPANY","RB/COT/13B10408DU200813","COMMERCE : Importation et exportation de matériels électroniques - électriques et électroménagers - informatiques - matériels de communication - importation et vente de véhicules automobiles neufs ou d'occasion - pièces détachées","COTONOU : Ayélawadjè - ilot 421 - parcelle U - Tél : 97448301",PM
90,AFRICA CAR PART,RB/ABC/13 B 6,"LA SOCIETE A POUR OBJET L'IMPORTATION ET LA DISTRIBUTION DE VEHICULES NEUFS OU D'OCCASION DE TOUTES MARQUES ET DE TOUTES ORIGINES","QTIER: AGAMADIN - ILOT: C/SB - TEL: 64 44 40 00",PM
91,AFRICA COMMODITIES,RB/COT/13 B 9859,"L'IMPORTATION ET L'EXPORTATION - L'IMPORTATION ET L'EXPORTATION DE PRODUITS TROPICAUX ET AUTRES PRODUITS AGRICOLES - PRODUITS VIVRIERS - CEREALES -ALIMENTAIRES","QTIER: MISSESSIN - ILOT: 08 - TEL: 97 28 22 19",PM
92,"AFRICA INFORMATIQUE ET TELECOMS ""AIT""",RB COT 13 A 16306,"INGENIERIE INFORMATIQUE-TELECOMMUNICATION-MAINTENANCE INFORMATIQUE-FORMATION-ETUDES ET CONSEILS-ACHAT ET VENTE DE MATERIELS  ET CONSOMMABLES INFORMATIQUES-BUREAUTIQUE-BTP","QUARTIER GANKPODO ILOT 623 TEL 97180846/95412140",PP
"","","","","","",9 / 177
"","","",ACHAT ET VENTE DE FOURNITURES DE ,"","",""
"","","",BUREAU LIBRAIRIE ET PAPETERIE-MATERIELS ,"","",""
"","","",INFORMATIQUES-COMMERCIALISATION DES ,"","",""
94,AFRICA OMNIUM SERVICES,RB COT 13 A 17218,PRODUITS GSM-BTP-VENTE DE PRODUITS FORESTIERS-RESTAURATION-ACHAT ET VENTE ,QUARTIER GBEDJROMEDE ILOT 1266-C TEL 96106656,PP,""
"","","",DE PRODUITS ALIMENTAIRES ET BOISSONS-,"","",""
"","","",SERVICE TRAITEUR-PRESTATIONS DE ,"","",""
"","","",SERVICES-COMMERCE GENERAL ET DIVERS.,"","",""
"","","",COMMERCE : Importation et exportation - ,"","",""
95,AFRICA WORLD PLUS,RB/ABC/13B150 DU130813,importation et vent de véhicules d'occasion - pneumatiques et pièces détachées,ABOMEY CALAVI : Agori - ilot csb - Tél : 95195726,PM,SODOKIN Maurice
"",AFRICAINE DE ,"",COMMERCE : Importation - achat - vente et ,"","",""
96,COMMERCE ET DE TECHNOLOGIE ,RB/COT/13B9950 DU080413,distribution de tous matériels de surveillance - consommables informatiques - électroniques - électroménagers ,COTONOU : Missèbo - ilot 114 - parcelle A - Tél / 65249899,PM,AZANDEGBE A E Mathias
"","","",ACHAT ET VENTE DE FOURNITURES DE ,"","",""
97,AFRICA-LEADER,RB/COT/13 A 17291,BUREAU LIBRAIRIE ET PAPETERIE - MATERIELS ET MOBILIERS DE BUREAU - COMMERCE ,QTIER: ZOGBOHOUE - ILOT: 2041 - TEL: 97 92 92 60,PP,TOGBONON SENA GISELE 
"","","",GENERAL ET DIVERSES PRESTATIONS,"","",""
"","","",SERVICE : Réparation des pièces de rechange des ,"","",""
98,AFRICAN AVIATION COMPANY,RB/COT/13 B10055DU060513,avions de marque Boeing - airbus - bombadier - fourniture des pièces de rechanges d'orgine boeing - ,COTONOU : Akpakpa Ohee - ilot 81 - Tél : 97986887,PM,ANANI TOSSA Coffi H. né le 02/11/56 à Porto Novo
"","","","Airbus - attaches, vis - boulons, rondelles et phoques","","",""
"","","",COMMERCE : Importation - commercialisation et ,"","",""
99,AFRI-CAN COMMERCE,RB/PN/13B358DU230813,location de véhicules automobiles d'occasion et/ou ,PORTO NOVO : SEME KPODJI - ,"",""
"","","",neufs,ILOT CSB - Tél / 95010199,PM,SAFADIEH Fadi
"","","","COMMERCE : Commerce général - achat, vente, ","","",""
100,AFRICAN LOGISTICS,RB/COT/13B10554 DU270913,"échange, importation, exportation, emmagasinage, le warrantage et le transport de tous produits, ",COTONOU : Agbondjedo - ilot 1092 - Tél : 90908721,PM,RAMANOU P P 
"","","","marchandises, denrées et objets de toute nature","","",""
"",AFRICAN TOURISM AND ,"","","","",""
101,HOSPITALITY EXCELLENCE (ATHE) ,RB/COT/13A17805 DU260813,SERVICE : Cabinet conseil en tourisme - hôtellerie et restauration,COTONOU : Kouhounou - ilot 1901 - parcelle R - Tél : 94771370,PP,DJAÏTO Yaovi Désiré né le 30/10/75 à cotonou 
"",CONSULTING,"","","","",""
102,AFRICAN TRADING COMPANY,RB/COT/13 B10692 DU061113,COMMERCE : Importation et distribution de produits alimentareis et agroalimentaires - boissons- cigarettes - textiles - transport,COTONOU : Gbégamey - ilot 711 - parcelle B - Tél / 93232929,PM,SIDICK M M
"","","",ACHAT ET VENTE DE PRODUITS TROPICAUX ET ,"","",""
103,AFRICAN TRADING SERVICE ,RB/COT/13 A 16558,AUTRES PRODUITS AGRICOLES - VENTE DE PRODUITS FORESTIERS - ARTCLES DE ,QTIER: TOKPLEGBE - ILOT: 50 - BP 00373 - TEL: 97 09 45 19,PP,LAWANI MOHAMED NOUROUDINE
"","","",QUINCAILLERIE - TRANSPORT - NEGOCE,"","",""
"","","",L'IMPORTATION ET L'EXPORTATION -,"","",10 / 177
"","","",IMPORTATION ET VENTE DE VEHICULES ,"","",""
104,AFRICAR ,RB COT 13 B 10074,AUTOMOBILES -DE CAMIONS  ET PNEUMATIQUES-IMPORTATION  ET ,QUARTIER ZOGBOHOUE ILOT 2003 03 BP 4408 TEL 66248334,PM,""
"","","",DISTRIBUTION DE PRODUITS ALIMENTAIRES ET ,"","",""
"","","",AGRO-ALIMENTAIRES-,"","",""
"","","",COMMERCE : Achat et vente de produits ,"","",""
105,AFRIQUE DISTRIBUTION,RB/COT/13 A17375 DU100613,alimentaires et des boissons - achat et vente de matériels et consommables informaques et divers- ,COTONOU : Ayélawadjè - Ilot 213-4278 - parcelle A - Tél : ,PP,AFFOYON Maryse Arlette née le 10/01/69 à Porto 
"","","",diverses prestations.,21336581/95963696,"",Novo
"","","",ACHAT ET VENTE DE PRODUITS TROPICAUX ET ,"","",""
106,AFRIQUE ESPOIR,RB/COT/13 A 16582,AUTRES PRODUITS AGRICOLES-COMMERCE ,QUARTIER FIDJROSSE ILOT ,PP,ATANAVOE ZINSI 
"","","",GENERAL ET DIVERSES MARCHANDISES.,1755-K TEL 95425515 03 BP 0620,"",ELISABETH TEL 97143493
"","","",ACHAT ET VENTE DE PIECES DETACHEES-DE ,"","",""
107,AFRIQUE INTER-AUTO PLUS,RB COT 13 A 16593,PNEUS ET ACCESSOIRES AUTOMOBILES-COMMERCE GENERAL ET DIVERSES ,QUARTIER YENAWA DAHO ILOT 942-H TEL 95963311,PP,TAIROU ABDOUL KASSIM TEL 95963311
"","","",PRESTATIONS DE SERVICES.,"","",""
"","",RB ,SERVICE : Transport - importation de matériaux de ,"","",""
108,AFRIQUE LUMIERE GPE,ABOMEY2012B170DU3003,construction - BTP - électricité générale - ,DASSA ZOUME : Ougbigué - ilot ,"",""
"","",13,construction métallique et divers ,CSB - Tél : 95818087,PM,AYADJI F Dégnidé 
"",AFRIQUE ,"","","","",""
109,METALLURGIQUE ,RB COT 13 A 16603,GENIE CIVIL-CONSTRUCTION METALLIQUE-,QUARTIER MENONTIN ILOT 2134 ,PP,KOHOUHO JUSTIN 
"",CONSEILS-INGENIERIE,"",DIVERS.,01 BP 03334 TEL 97168051,"",VILDRAC
"","","",IMPORTATION DE VEHICULES D'OCCASION - ,"","",""
110,AFRIQUE SYNERGIE ,RB/COT/12 B 9399,DES CAMIONS - DES PIECES DE RECHANGE - DES PNEUS - L'AGROALIMENTAIRE - LES ,QTIER: SENADE 1 - ILOT: 350 - TEL: 97 31 63 46,PM,ZANNOU ANGELE SONAGNON
"","","",PRODUITS TROPICAUX,"","",""
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
"","","",INFORMATIQUES BUREAUTIQUES-INGENIERIE ,"","",""
"","","",INFORMATIQUE-CONSEIL INFORMATIQUE ET ,"","",""
111,AFRIQUE TECH,RB COT 13 A 17094,DEVELOPPEMENT DE LOGICIELS-FORMATION  ,QUARTIER MENONTIN ILOT 2060-,"",""
"","","",INFORMATIQUE-LOCATION DE VOITURES-NTIC-,M TEL 97898189,PP,""
"","","",COMMERCE GENERAL ET DIVERSES ,"","",""
"","","",PRESTATIONS DE SERVICES.,"","",""
112,AFRIQUE TRAVAUX SERVICES,RB/COT/13 A 16729,MAINTENANCE DE MATERIELS INFORMATIQUES ET D'EQUIPEMENTS DE BUREAU - LOCATION DE VEHICULES.,QTIER: ZOGBO YENAWA - ILOT: 2255 - 05 BP 291 - TEL: 97 21 71 15/ 97 21 71 15,PP,CODO ARISTIDE
113,AFRO 2000,RB/COT/10 B6881DU010210,COMMERCE : Importation des mêches - produits cosmétiques - tissus - bijoux - layettes - prêt à porter pour hommes et dames - décorations ,COTONOU : Saint Jean Todoté - ilot 427 - parcelle N - Tél : 95150969,PM,AKPLO Dora
114,AFRO ASIA LIMITED,RB/COT/13B10375DU090813,COMMERCE : Importation et exportation de produits alimentaires - de denrées et matériels électriques - des produits tropicaux ,COTONOU : Jéricho - ilot 488- parcelle X - Tél : 66 04 37 92,PM,MULUNKUZIL K Vinod Kumar
115,AFROSATELLITE INTERNATIONAL,RB /COT/2009 B 4065,IMPORTATION DE MATERIELS INFORMATIQUES BUREAUTIQUES -DIVERS,QUARTIER AVOTROU ILOT 5512-H  05 BP 1063 TEL 97488493,PM,GBESSEMEHLAN CAMILLE VINCENT TEL 97488493
"","","",L'IMPORTATION ET L'EXPORTATION ET LA ,"","",11 / 177
"","","",COMMERCIALISATION  DE MATERIAUX DE ,"","",""
"","","",CONSTRUCTION ET QUINCAILLERIE-MATERIELS ,"","",""
116,AFTHER,RB COT 13 B 9879,ELECTROMENAGERS-ASSANISSEMENT-BTP-,QUARTIER KOUHOUNOU ILOT ,"",""
"","","",IMPORTATION ET VENTE  DE VEHICULES ,1477-F  TEL 97982682,PM,""
"","","",AUTOMOBILES-CAMIONS D'OCCASION ET ,"","",""
"","","",PNEUMATIQUES,"","",""
117,AFYTECH,RB/COT/13A 17942 DU180913,SERVICE : Ingénierie informatique - vente de matériels informatiques - centre multimédia - fournitures de bureau - service cloud,COTONOU : Aïbatin - ilot 1666- parcelle C - Tél : 65606161,PP,ALLA Y Fréjus
"","","",COMMERCE : Achat et vente de fournitures de ,"","",""
118,AG - TRADE,RB/COT/13A17748 DU140813,bureau - librairie et papeterie - production animale - sérigraphie - impression numérique - location de ,COTONOU : Zogbo - ilot 2253 - parcelle Z - Tél : 67336303,PP,ACCLOMBESSI Gwladys née le 15/08/89 à cotonou
"","","",véhicules - commerce général,"","",""
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
119,AGAPE FORCE ,RB/COT/13 A 16989,INFORMATIQUES BUREAUTIQUE - BTP - COMMERCE GENERAL ET DIVERSES ,QTIER: ZOGBOHOUE - ILOT: 1989 - TEL: 66 63 96 09,PP,SAVI FINAGNON DOSSOURAYMOND
"","","",PRESTATIONS DE SERVICES.,"","",""
120,AGBO SONIA ET FILS,RB/COT/13A17435DU19/06/13,Achat et vente de produits alimentaires et boissons-vente de boissons et divers-restauration et communication,Saint Michel C/25 Parcelle V Tél 95010432,PP,AGBO Heredice Sonia née le 15/02/1983
121,AGBOLA ET FILS,RB/COT/13B 13609DU141013,COMMERCE : Importation et commercialisation de matériaux de construction - qunicaillerie - BTP ,COTONOU : Yénawa - ilot 957 - Tél : 97604791,PM,ADJIBOLA O O
122,"AGENCE ""S""",RB/COT/13A 18142 DU231013,COMMERCE : Achat et vente des produits de la loterie - commerce général et divers prestations de services ,COTONOU : Sikècodji - ilot 870 - parcelle G - Tél : 95952103,PP,ADJE KPOTI Michel A 
"","","",SERVICE : Etude et réalisation de toutes oeuvres ,"","",""
123,AGENCE AFRICAINE D'ARCHITECTURE ET ,RB/COT/13 B10680 ,"architecturales relatives tant aux bâtiments administratifs qu'aux bâtiments d'habitation - etude, ","COTONOU : Cité houéyiho - ilot : 3bis, Allée des cocotiers - Tél : ",PM,ali idrissou y koladé a.
"",D'AMENAGEMENT,DU041113,"suivi, contrôle, évaluation et exécution de tous ",97600628,"",""
"","","",projets ,"","",""
124,AGENCE DE COMMUNICATION ETRE ELITE,RB/COT/13 A17496 DU010713,SERVICE : Création et référencement de sites internet - rédaction de contenu Web- autres prestations en TIC,COTONOU : Abokicodji - ilot 4616- parcelle F - Tél : 97713901,PP,NOUMON Y. H. Emmanuel né le 17/08/89 à djrègbé
"","","",TRANSPORTS LOGISTIQUES-CONSTRUCTION ,"","",""
"",AGENCE DE ,"",METALLIQUE-ALUMINIUM ET VITRERIE-ACHAT ,QUARTIER KPONDEHOU ILOT ,"",""
125,CONSIGNATION ET DE ,RB COT 13 A 17080,ET VENTE DE MATERIELS INFORMATIQUES ET ,394-M 01 BP 1204 P/N TEL ,PP,""
"",TRANSIT,"",ACCESSOIRES-VENTE DE FOURNITURES DE ,97210888/95590659,"",""
"","","",BUREAU-BTP-COMMERC E GENERAL ET DIVERS,"","",""
"",AGENCE DE ,"","","","",""
126,DEVELOPPEMENT ECONOMIQUE ET ,RB/COT/13 A17497 DU010713,COMMERCE : Achat et vente de produits alimentaires et des boissons - briqueterie - mise en ,COTONOU : Adjra-komè - ilot 4217 ,PP,BALOGOUN Gafari né le 
"",SOCIAL,"",sachet d'eau jetable - commerce général,- parcelle A - Tél : 21334647,"",01/01/54 à porto novo
"",AGENCE DE ,"","","","",""
127,TRANSPORT ROUTIER DE MARCHANDISES (ATRMC),RB/COT/13A 17938 DU170913,SERVICE : Transports - BTP - Génie - Fourniture de bureau et scolaire - papeterie - librairie - commerce général,COTONOU : Vèdoko - ilot 1385 - tél : 97 036 681,PP,ALAGBE Georgette
128,AGENCE GENERALE AMITIE ,RB COT 13 A 16946,ACTIVITES D'AUXILIAIRES D'ASSURANCE-PRESENTATION DES PRODUITS D'ASSURANCE-DIVERSES PRESTATIONS.,QUARTIER KOUHOUNOU ILOT 2024 03 BP 3081 TEL 96616093,PP,12 / 177
129,AGENCE GENERALE LA MANNE,RB/COT/13 A 17161,L'AGENCE GENERALE D' ASSURANCES - INTERMEDIATION EN ASSURANCES - POISSONNERIE ET DIVERS.,QTIER: LOM NAVA - ILOT: 4326 - 06 BP 369 - TEL: 95 96 14 24/21 33 05 39,PP,MIGAN SAGBO JACQUES
130,AGENCE IMMOBILIERE LA DIFFERENCE,RB/COT/13 A 17277,ACTIVITES DES AGENCES IMMOBILIERS - LOCATION DE VEHICULES - ENTRETIEN - PRESTATIONS DE SERVICES,QTIER: MISSEKPLE - ILOT: 1874 - TEL: 97 96 08 08,PP,DOSSOUHOUAN MAHOUGNON PAMPHILE
"",AGENCE ,"","","","",""
"",INTERNATIONALE DE ,"","","","",""
131,"FORMATION, DE RECHERCHE ET D'EXPERTISE POUR LE ",RB/COT/13B10327 DU250713,SERVICE : Formation et animation sociale - consultation - ingénierie sociale - communication - évènementiel et publicité,COTONOU : Agla - ilot 3076 - parcelle F - Tél : 95854617,PM,ECLOU Sèdjro Gratien D. né le 21/01/79 à cotonou
"",DEVELOPPEMENT,"","","","",""
132,AGENCE JA & ASSOCIES (AJAA),RB/COT/13 A18287 DU211113,SERVICE : Cabinet d'architecture et d'urbanisme - bureau d'études - diverses prestations de services ,COTONOU : Missogbé - ilot 1434 - parcelle H - Tél : 96582448,PP,AGONNADJAI S N John
133,AGENCE MARSI,RB/COT/13 A 17345 050613,SERVICE : Conseils en communication et en marketing - commerce général et services divers ,COTONOU : Dandji - ilot 668 - parcelle Y - 06 BP 1980 - TEL/96985541,PP,DOSSOU Fabrice Siméon Junior Vihotogbé né le 01/06/86
"","","",SERVICE : Sécurité rapprochée des personnalités ,"","",""
134,AGENCE NEGOCE BENIN,RB/COT/12 B9332 DU031012,"des biens, meubles et immeubles, le convoyage des fonds, la surveillance électroniques des immobiliers (vidéo surveillance, alarme, détection, anti-intrusion, ",COTONOU : Cadjèhoun - ilot 784 - parcelle Z- Tél : 97481114,PM,ABDOU Nouhou né le 01/01/66 à Lokossa
"","","","contrôle d'accès, biométrie)","","",""
135,AGENCE POINT COM',RB/COT/13A 18066 DU101013,SERVICE : Conseils en communication et en marketing - communication - formation - diverses prestations de services ,COTONOU : Gbégamey - ilot 621 - Tél / 97742932,PP,MALANGUE D L K
136,AGENCE UBUNTU CASE AFRICAINE,RB/COT/13A17939 DU180913,SERVICE : Activités artistiques et culturelles - vente d'objets d'arts - évènementiel - formation de stylistes,COTONOU : Zogbo - ilot 2002 - Tél : 96194399,PP,sognon coffi georges
"","","",COMMERCE : Achat et vente de friperie - ,"","",""
137,AGES INVESTMENT,RB/COT/13 A17377 DU100613,chaussures et vêtement d'occasion - pièces détachées - véhicules d'occasion - matériels ,COTONOU : Missèbo - Ilot 186-187 - Parcelle C - Tél : ,PP,UCHE Egesi Francis né le 04/04/66 à Ezeukwu
"","","",informatiques- bâtiments et travaux publics.,66320590/99032155,"",""
"","","",SERVICE : BTP - LOCATION DE VOITURES - ,"","",""
138,AGF AFRIQUE ,RB/COT/13A 18168 DU281013,FOURNITURE DE BUREAU - TRANSPORT - DIVERSES PRESTATIONS DE SERVICES - ,COTONOU : Ahogbohoué - ilot 3011 - parcelle I - Tél : 97910097,PP,AITCHEDJI Gilles G 
"","","",COMMERCE GENERAL,"","",""
"","","",INGENIERIE INFORMATIQUE - ETUDE ET ,"","",""
139,AGIT,RB/COT/13 A 17045,CONSEILS EN TELECOMMUNICATION - ACHAT ET VENTE DE PRODUITS D'ENTRETIEN ET ,QTIER: ZOGBO - ILOT: 1998 - TEL: 96 12 27 34/ 97 89 74 70,PP,ADJE OLATOUNDJI DELPIN
"","","",ALIMENTAIRE,"","",""
"","","",IMPROTATION DE VEHICULES D'OCCASION - ,"","",13 / 177
"","","",PNEUMATIQUE ET PIECES DETACHEES - ,"","",""
"","","",MATERIAUX DE CONSTRUCTION - ,"","",""
140,AGNILA ORI STAR,RB/PN 2012  B 954,QUINCAILLERIE - APPAREILS ELECTROMENAGERS - BIJOUX - TEXTILES ET ,QTIER: PORTO-NOVO - ILOT: 158 - MAISON ALAO - Tél:  90 03 00 00,PM,ASSANI YAYA AGNILA ORI BABA TOUNDE
"","","",EFFETS VESTIMENTAIRES - MATERIELS ,"","",""
"","","",INFORMATIQUES BUREAUTIQUES - BTP - ,"","",""
"","","",DIVERSES PRESTATIONS DE SERVICES. ,"","",""
"","","",BTP -HYDRAULIQUE -ENVIRONNEMENT-VOIRIE-,QUARTIER HOUEYIHO ILOT 1409 ,"",ZOHOUNGBE CODJO 
141,AGRETEC BENIN,RB COT 13 A 16237,COMMERCE GENERAL ET DIVERSES ,BP 1033,PP,LEROY P. C. A .G. TEL 
"","","",PRESTATIONS.,TEL 96.82.39.63,"",96.82.39.63
"",AGROCONSULT ,"","","","",""
142,INTERNATIONAL DEVELOPMENT EXPERT ,RB/COT/13A18010DU300913,SERVICE : Etude - bureau d'étude de gestion des exploitations et entreprises agricoles - en gestion ,COTONOU : Agbato - ilot 0902 - ,PP,HONFOGA  G B
"",(AIDE),"",d'entreprises - marketing agricole,Tél : 97467097,"",""
"","","",ACHAT ET VENTE DE PRODUITS TROPICAUX ET ,"","",""
"","","",AUTRES PRODUITS AGRICOLES-PRODUITS  ,"","",""
143,AGRO-KOLI,RB COT 13 A 16903,FORESTIERS-FOURNITURES DE BUREAU-,QUARTIER GBEGAMEY ILOT 618 ,PP,""
"","","",MATERIELS INFORMATIQUES-TRANSPORT-,TEL 95951062,"",""
"","","",COMMERCE GENERAL ET DIVERS.,"","",""
144,AGRO-KOLI,RB/COT/13B 10762DU041213,COMMERCE : Importation et exportation de produits tropicaux et agricoles - produits forestiers - produits alimentaires et boissons - produits agro alimentaires ,COTONOU : Gbégamey - ilot 618 - parcelle X - Tél / 21303531,PM,KOLIMEDJE Luc 
"","","",COMMERCE : Importation et exportation des ,"","",""
145,AGROPHYTO,RB/COT/13 B 9590DU 090113,produitsagroalimentaires - produits phytosanitaires - intrants agricoles et toutes actvités rentrant dans ,COTONOU : 242 - ilot 4875 - parcelle M - Tél : 21300891,PM,NOUDEVIWA F F P 
"","","",l'objet social ,"","",""
"","","",IMPORTATION DE MATERIAUX DE ,"","",""
"","","",CONSTRUCTION-MOTOS-VEHICULES ,"","",""
146,AGS - BTP,RB/ODH/2013 B 051,AUTOMOBILES D'OCCCASION OU NEUFS -,QUARTIER SAVI HOUEYIHO ,PM,""
"","","",EXPORTATION DE PRODUITS TROPICAUX ET ,C/S/B TEL 97699629,"",""
"","","",DIVERS.,"","",""
"","","",TELECOMUNICATION-COMMUNICATION-REGIE ,"","",""
"","","",PUBLICITAIRE-EVENEMENTIEL-CONSEIL AUDIT-,QUARTIER GBEWA ILOT 478-A ,"",""
147,AGSH IMPACT,RB COT 13 A 17181,GEO-LOCALISATION-ENERGIES ,08 BP 0129 TEL ,PP,""
"","","",RENOUVELABLES-BUREAUTIQUE-COMMERCE ,21321854/66004766,"",""
"","","",GENERAL ET DIVERS.,"","",""
"","","",COMMERCE : Importation et exportation - ,"","",""
148,AGTRANS AFRIQUE ,RB/COT/13B10398DU140813,importation de véhicules automobiles d'occasion - pièces détachées - pneumatique - appareils ,COTONOU : Sikècodji/maro militaire - ilot 532 - Tél : 90956003,PM,ADOUKONOU Dimos G. né le 17/11/84 à passagon
